name,ring,quadrant,isNew,description
Cross Platform,Adopt,Techniques,,
Headless CMS,Explore,Techniques,,
Accessibility,Explore,Techniques,,
Performance Optimization,Explore,Techniques,,
Data Visualization,Explore,Techniques,,
Analytics,Explore,Techniques,,
SEO,Explore,Techniques,,
iOS,Adopt,Platforms,,
Android,Adopt,Platforms,,
Web,Adopt,Platforms,,
WeChat,Adopt,Platforms,,
Node.js,Adopt,Platforms,,
iOS SDK & Swift,Adopt,Languages & Frameworks,,
Android SDK & Kotlin,Adopt,Languages & Frameworks,,
Flutter & Dart,Explore,Languages & Frameworks,,
JavaScript & TypeScript,Adopt,Languages & Frameworks,,
React,Adopt,Languages & Frameworks,,
Vue,Explore,Languages & Frameworks,,
Angular,Explore,Languages & Frameworks,,
Xcode,Adopt,Tools,,
Android Studio,Adopt,Tools,,
VSCode,Explore,Tools,,
fastlane,Explore,Tools,,
Gradle,Explore,Tools,,
Webpack,Explore,Tools,,
Gulp,Explore,Tools,,
ASP.NET,Adopt,Techniques,,
WPF,Adopt,Techniques,,
Silverlight,Adopt,Techniques,,
MVC,Adopt,Techniques,,
RESTful API ,Adopt,Techniques,,
Webservice,Adopt,Techniques,,
WCF,Adopt,Techniques,,
MS SQL ,Adopt,Techniques,,
Oracle,Explore,Techniques,,
MySQL,Adopt,Techniques,,
NoSQL,Explore,Techniques,,
MongoDB,Explore,Techniques,,
Solr,Adopt,Techniques,,
Redis,Adopt,Techniques,,
DevOps,Adopt,Techniques,,
Infrastructure,Adopt,Techniques,,
C#,Adopt,Languages & Frameworks,,
PHP,Adopt,Languages & Frameworks,,
Java,Endure,Languages & Frameworks,,
Python,Retire,Languages & Frameworks,,
.NET Framework ,Adopt,Languages & Frameworks,,
.NET Core,Explore,Languages & Frameworks,,
Laravel,Adopt,Languages & Frameworks,,
Lumen,Adopt,Languages & Frameworks,,
Symfony,Explore,Languages & Frameworks,,
Django,Retire,Languages & Frameworks,,
Sitecore,Adopt,Platforms,,
WordPress,Adopt,Platforms,,
Umbraco,Explore,Platforms,,
Ektron,Explore,Platforms,,
AEM,Endure,Platforms,,
Acquia/Drupal,Explore,Platforms,,
Joomla!,Endure,Platforms,,
Git,Adopt,Tools,,
Jenkins,Adopt,Tools,,
Docker,Adopt,Tools,,
Composer,Adopt,Tools,,
GTM,Explore,Tools,,
DTM,Explore,Tools,,
Webtrends,Explore,Tools,,
Azure,Explore,Tools,,
AWS,Explore,Tools,,
Rackspace,Explore,Tools,,
VS,Adopt,Tools,,
PHPStorm,Adopt,Tools,,
Vim,Adopt,Tools,,
